AES | ANF_CSE_LS-primitive depth=1008   size=1021   Toffoli_N=5062   Depth_N=3556  ancilla=0 ops={'mcx': 881, 'ccx': 97, 'cx': 31, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=94280  size=136827ancilla=0 ops={'u': 82824, 'cx': 53995, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1011   size=1031   Toffoli_N=4854   Depth_N=3361  ancilla=5 ops={'mcx': 782, 'ccx': 186, 'cx': 51, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=92849  size=135113ancilla=5 ops={'u': 81942, 'cx': 53163, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1016   size=1041   Toffoli_N=4706   Depth_N=3222  ancilla=10 ops={'mcx': 710, 'ccx': 254, 'cx': 65, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=91794  size=133915ancilla=10 ops={'u': 81330, 'cx': 52577, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1022   size=1051   Toffoli_N=4609   Depth_N=3136  ancilla=15 ops={'mcx': 664, 'ccx': 295, 'cx': 80, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=90908  size=133119ancilla=15 ops={'u': 80917, 'cx': 52194, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1024   size=1061   Toffoli_N=4549   Depth_N=3084  ancilla=20 ops={'mcx': 637, 'ccx': 316, 'cx': 96, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=90130  size=132613ancilla=20 ops={'u': 80647, 'cx': 51958, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1035   size=1071   Toffoli_N=4387   Depth_N=3017  ancilla=25 ops={'mcx': 617, 'ccx': 316, 'cx': 126, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=86396  size=126939ancilla=25 ops={'u': 77281, 'cx': 49650, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1030   size=1081   Toffoli_N=4215   Depth_N=2920  ancilla=30 ops={'mcx': 597, 'ccx': 316, 'cx': 156, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=81834  size=120257ancilla=30 ops={'u': 73289, 'cx': 46960, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1040   size=1091   Toffoli_N=4067   Depth_N=2854  ancilla=35 ops={'mcx': 575, 'ccx': 316, 'cx': 188, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=78806  size=115899ancilla=35 ops={'u': 70627, 'cx': 45264, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1050   size=1101   Toffoli_N=3929   Depth_N=2792  ancilla=40 ops={'mcx': 557, 'ccx': 316, 'cx': 216, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=75872  size=111361ancilla=40 ops={'u': 67909, 'cx': 43444, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1056   size=1111   Toffoli_N=3813   Depth_N=2742  ancilla=45 ops={'mcx': 541, 'ccx': 316, 'cx': 242, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=72833  size=107091ancilla=45 ops={'u': 65293, 'cx': 41790, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1065   size=1121   Toffoli_N=3708   Depth_N=2691  ancilla=50 ops={'mcx': 526, 'ccx': 316, 'cx': 267, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=70624  size=103951ancilla=50 ops={'u': 63388, 'cx': 40555, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1076   size=1131   Toffoli_N=3603   Depth_N=2642  ancilla=55 ops={'mcx': 511, 'ccx': 316, 'cx': 292, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=68529  size=100811ancilla=55 ops={'u': 61483, 'cx': 39320, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1086   size=1141   Toffoli_N=3498   Depth_N=2592  ancilla=60 ops={'mcx': 496, 'cx': 317, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=66641  size=97671 ancilla=60 ops={'u': 59578, 'cx': 38085, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1085   size=1151   Toffoli_N=3402   Depth_N=2551  ancilla=65 ops={'mcx': 480, 'cx': 343, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=64696  size=95081 ancilla=65 ops={'u': 57954, 'cx': 37119, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1095   size=1161   Toffoli_N=3308   Depth_N=2521  ancilla=70 ops={'mcx': 466, 'cx': 367, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=62649  size=92231 ancilla=70 ops={'u': 56208, 'cx': 36015, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1103   size=1171   Toffoli_N=3248   Depth_N=2505  ancilla=75 ops={'mcx': 458, 'cx': 385, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=61406  size=90325 ancilla=75 ops={'u': 55032, 'cx': 35285, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1114   size=1181   Toffoli_N=3177   Depth_N=2478  ancilla=80 ops={'mcx': 447, 'cx': 406, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=60088  size=88343 ancilla=80 ops={'u': 53809, 'cx': 34526, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1125   size=1191   Toffoli_N=3104   Depth_N=2455  ancilla=85 ops={'mcx': 434, 'cx': 429, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=58821  size=86577 ancilla=85 ops={'u': 52680, 'cx': 33889, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1135   size=1201   Toffoli_N=3032   Depth_N=2429  ancilla=90 ops={'cx': 451, 'mcx': 422, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=57544  size=84703 ancilla=90 ops={'u': 51504, 'cx': 33191, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1145   size=1211   Toffoli_N=2981   Depth_N=2413  ancilla=95 ops={'cx': 468, 'mcx': 415, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=56443  size=83201 ancilla=95 ops={'u': 50569, 'cx': 32624, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1153   size=1221   Toffoli_N=2950   Depth_N=2407  ancilla=100 ops={'cx': 481, 'mcx': 412, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=55772  size=82179 ancilla=100 ops={'u': 49922, 'cx': 32249, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1151   size=1231   Toffoli_N=2935   Depth_N=2401  ancilla=105 ops={'cx': 490, 'mcx': 413, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=55224  size=81295 ancilla=105 ops={'u': 49393, 'cx': 31894, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1162   size=1241   Toffoli_N=2950   Depth_N=2424  ancilla=110 ops={'cx': 493, 'mcx': 420, 'ccx': 316, 'measure': 8, 'x': 4}
